Run,ThreadCount,SeqTime,ParTime,SpeedupThr,OmpTime,SpeedupOmp
1,2,21164,11124,1.90255,10799,1.95981
1,4,21164,6022,3.51445,6404,3.30481
1,8,21164,5157,4.10394,5532,3.82574
1,16,21164,4770,4.4369,5124,4.13037
1,32,21164,4901,4.3183,5115,4.13763
1,64,21164,5123,4.13117,5045,4.19504
1,128,21164,5002,4.23111,5183,4.08335
2,2,20513,10832,1.89374,10838,1.89269
2,4,20513,6023,3.40578,6283,3.26484
2,8,20513,5268,3.89389,5598,3.66434
2,16,20513,4814,4.26111,4997,4.10506
2,32,20513,4631,4.4295,5031,4.07732
2,64,20513,4765,4.30493,4921,4.16846
2,128,20513,5405,3.79519,5045,4.06601
3,2,20524,10800,1.90037,10900,1.88294
3,4,20524,5971,3.43728,6347,3.23365
3,8,20524,5006,4.09988,5562,3.69004
3,16,20524,4705,4.36217,4986,4.11633
3,32,20524,4785,4.28924,4916,4.17494
3,64,20524,4747,4.32357,5045,4.06819
3,128,20524,4774,4.29912,4979,4.12211
4,2,20628,10815,1.90735,11119,1.8552
4,4,20628,6085,3.38998,6492,3.17745
4,8,20628,5092,4.05106,5424,3.8031
4,16,20628,4805,4.29303,5097,4.04709
4,32,20628,5159,3.99845,5058,4.07829
4,64,20628,4794,4.30288,4987,4.13635
4,128,20628,4758,4.33544,5294,3.89649
5,2,21668,11026,1.96517,11645,1.86071
5,4,21668,6281,3.44977,6324,3.42631
5,8,21668,5344,4.05464,5540,3.91119
5,16,21668,5344,4.05464,5099,4.24946
5,32,21668,4838,4.47871,5010,4.32495
5,64,21668,4708,4.60238,4926,4.3987
5,128,21668,4957,4.37119,5050,4.29069
6,2,20882,10826,1.92887,10992,1.89975
6,4,20882,6058,3.44701,6398,3.26383
6,8,20882,5023,4.15728,6017,3.4705
6,16,20882,4698,4.44487,5150,4.05476
6,32,20882,4930,4.2357,4773,4.37503
6,64,20882,4812,4.33957,5021,4.15893
6,128,20882,4781,4.36771,4999,4.17724
7,2,20833,10942,1.90395,10760,1.93615
7,4,20833,6312,3.30054,6452,3.22892
7,8,20833,5184,4.01871,5522,3.77273
7,16,20833,4664,4.46677,5129,4.06181
7,32,20833,4752,4.38405,5075,4.10502
7,64,20833,4855,4.29104,5021,4.14917
7,128,20833,5089,4.09373,5150,4.04524
8,2,21445,10921,1.96365,11399,1.88131
8,4,21445,5944,3.60784,6341,3.38196
8,8,21445,5371,3.99274,5905,3.63167
8,16,21445,4696,4.56665,4928,4.35166
8,32,21445,5004,4.28557,5034,4.26003
8,64,21445,4865,4.40802,5229,4.10117
8,128,21445,4984,4.30277,5063,4.23563
9,2,20971,10845,1.9337,10790,1.94356
9,4,20971,6024,3.48124,6427,3.26295
9,8,20971,5322,3.94044,5447,3.85001
9,16,20971,4850,4.32392,5249,3.99524
9,32,20971,4844,4.32927,4925,4.25807
9,64,20971,4960,4.22802,5002,4.19252
9,128,20971,4950,4.23657,5086,4.12328
10,2,20689,11103,1.86337,10968,1.88631
10,4,20689,6246,3.31236,6577,3.14566
10,8,20689,5257,3.93551,5491,3.7678
10,16,20689,5054,4.09359,5132,4.03137
10,32,20689,4745,4.36017,5035,4.10904
10,64,20689,4926,4.19996,5240,3.94828
10,128,20689,5020,4.12131,4948,4.18129
